date,ticker,actual_price,fitted_price
2018-05-04,AMD,11.28,15.670487073556378
2018-05-07,AMD,11.59,15.7319138760715
2018-05-08,AMD,11.61,15.752442938632989
2018-05-09,AMD,11.95,15.77299879020521
2018-05-10,AMD,12.13,15.793581465745973
2018-05-11,AMD,11.95,15.814191000258681
2018-05-14,AMD,12.23,15.876181108348492
2018-05-15,AMD,12.45,15.89689842969781
2018-05-16,AMD,12.82,15.917642785722624
2018-05-17,AMD,12.82,15.938414211701259
2018-05-18,AMD,13.0,15.959212742958226
2018-05-21,AMD,12.99,16.021771322334665
2018-05-22,AMD,12.98,16.04267862887175
2018-05-23,AMD,13.1,16.06361321800187
